,year,epiweek,geo_code,hhs,symptom:Fever,symptom:Low-grade fever,symptom:Cough,symptom:Sore throat,symptom:Headache,symptom:Fatigue,symptom:Vomiting,symptom:Diarrhea,symptom:Shortness of breath,symptom:Chest pain,symptom:Dizziness,symptom:Confusion,symptom:Generalized tonic–clonic seizure,symptom:Weakness
0,2017,48,US,0,5.14,0.18,10.05,3.46,5.83,5.99,3.97,5.31,0.9,1.71,2.0,0.36,0.27,0.51
1,2017,49,US,0,4.12,0.14,8.02,2.71,4.37,4.78,3.31,4.3,0.7,1.34,1.54,0.29,0.22,0.42
2,2017,50,US,0,4.54,0.17,8.66,2.91,4.32,4.64,3.45,4.41,0.7,1.33,1.53,0.28,0.21,0.39
3,2017,51,US,0,5.13,0.22,9.98,3.26,4.31,4.49,3.74,4.66,0.68,1.36,1.54,0.24,0.19,0.36
4,2017,52,US,0,5.89,0.25,12.12,3.58,4.68,4.59,4.15,5.08,0.69,1.47,1.58,0.23,0.18,0.34
5,2017,34,AL,4,3.75,0.12,6.03,2.64,5.22,5.69,3.23,4.68,0.81,1.59,1.79,0.26,0.24,0.52
6,2017,35,AL,4,3.9,0.14,6.63,2.83,4.83,5.7,3.3,4.74,0.89,1.65,1.76,0.28,0.2,0.56
7,2017,36,AL,4,3.93,0.13,6.87,2.56,4.74,5.47,3.49,4.6,0.77,1.59,1.68,0.31,0.26,0.52
8,2017,37,AL,4,3.66,0.12,6.58,2.37,5.03,5.99,3.42,4.75,0.87,1.68,1.78,0.27,0.24,0.53
9,2017,38,AL,4,3.83,0.14,6.36,2.43,5.27,6.32,3.6,5.02,0.91,1.69,1.87,0.3,0.28,0.59
10,2017,39,AL,4,3.86,0.13,6.53,2.45,5.25,6.27,3.56,5.01,0.89,1.73,1.9,0.31,0.29,0.56
11,2017,40,AL,4,3.85,0.14,6.54,2.41,4.97,6.02,3.48,4.86,0.91,1.7,1.79,0.29,0.25,0.55
12,2017,41,AL,4,3.81,0.13,6.62,2.44,5.23,6.38,3.7,5.05,0.94,1.77,1.99,0.31,0.28,0.57
13,2017,42,AL,4,4.01,0.15,7.18,2.52,5.12,6.25,3.66,4.96,0.9,1.77,1.83,0.32,0.28,0.6
